Name,Description,Interests,Labels,Kids,Outdoors,Price,Free,Time,Location,District
Chocolate Museum,a museum about the history and traditions around chocolate,museum,[chocolate] [museum] [kid],1,0,"6€
Under 7: free",0,"Tuesday Wednesday Thursday Friday Saturday (from 10 am to 7 pm)
Sunday (from 10 am to 3 pm)
Monday (closed)",41.38718782161673 2.181791597340361,Ciutat Vella
"Museum of the History of Barcelona",a museum exhibiting the historical heritage of the city of Barcelona,museum,[museum] [history],0,0,"7€
Students under 29: 5€
Under 16: free",0,"Tuesday Wednesday Thursday Friday Saturday (from 10 am to 7 pm)
Sunday (from 8 pm)
Monday (closed)",41.38391997888992 2.1776736783038118,Ciutat Vella
Palau del Parlament de Catalunya,an assembly hall built in 1714 which houses Catalonia's Parliament,monument,[palace] [catalonia],0,0,Free,1,"Monday Tuesday Wednesday Thursday Friday (from 9 am to 6 pm)
Saturday Sunday (closed)",41.38804022300347 2.1886693685050314,Ciutat Vella
Palau de la Generalitat,"a historical palace from the Middle Ages, which houses the presidency of Catalonia's government",park,[palace] [catalonia],0,0,Free,1,"Monday Tuesday Wednesday Thursday Friday Saturday (from 10 am to 8 pm)
Sunday (closed)",41.3828558293285 2.176696168504853,Ciutat Vella
Palau de la Música,a wonderful concert hall in Art Nouveau style,event,[palace] [music],0,0,Free,1,Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 10 am to 3:30 pm),41.38769591951089 2.1753664415171983,Ciutat Vella
Palau Sant Jordi,a multi-purpose installation in the Olympic Ring,activity,[sport] [basketball] [ice] [concert] [music] [activity],0,0,Free,1,Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 10 am to 6 pm),41.36346830743134 2.1525929973395836,Sants-Montjuïc
Lluís Companys Olympic Stadium,a stadium built in 1927 and main venue of the 1992 Barcelona Olympic Games,park,[sport] [mountain] [stadium],0,0,Free,1,Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 10 am to 6 pm),41.36490912271877 2.1556274819981835,Sants-Montjuïc
Barcelona Cathedral,"a gothic cathedral built in the fifteenth century, with an ornate style",monument,[church] [temple],0,0,Free,1,"Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 8 am to 12:45 am, from 1 pm to 5:30 pm and from 5:45 pm to 7:30 pm)",41.38412297515482 2.1761883685048966,Ciutat Vella
Poblenou Cemetery,an old cemetery with individual monuments and mausolea for the dead of the bourgeoisie,monument,[cemetery] [outdoors] [sculpture] [art],0,1,Free,1,Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 8 am to 6 pm),41.39528335383698 2.201791583846708,Sant Martí
La Boqueria,a large public market of fresh products as well as a famous tourist attraction,park,[market] [walk],0,0,Free,1,Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 8 am to 8:30 pm),41.38211823189719 2.1720144507545416,Ciutat Vella
"Temple Expiatori del Sagrat Cor","a church and basilica at the top of the Collserola mountain ridge, with views over Barcelona",monument,[church] [mountain] [temple],0,0,Free,1,Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 9 am to 8 pm),41.42212344975343 2.118787297341572,Sarrià-Sant Gervasi
Sant Sebastià,the longest beach in Barcelona,park,[beach] [sea] [outdoors],0,1,Free,1,open at all times,41.370353191441446 2.1890825058525825,Ciutat Vella
The Four Columns,four Ionic columns by Puig i Cadafalch which represent the four stripes on the Catalan flag,monument,[outdoors] [monument],0,1,Free,1,open at all times,41.37063907927022 2.15206169733981,Sants-Montjuïc
Plaça d'Espanya,a famous square with a statue representing Spain's three seas and with two towers similar to the one in Venice,park,[square] [fountain] [outdoors],0,1,Free,1,open at all times,41.3750902374321 2.1490910608338742,Sants-Montjuïc
Dona i Ocell,"a surrealist sculpture by Joan Miró, in English ""Woman and Bird""",event,[sculpture] [outdoors] [art],0,1,Free,1,open at all times,41.37813410336372 2.146550101596421,Sants-Montjuïc
La Barceloneta,one of the beaches in Barcelona and a seaside neighbourhood,park,[beach] [sea] [outdoors],0,1,Free,1,open at all times,41.3784199231233 2.192439457447857,Ciutat Vella
Parc Joan Miró,a park near Plaça d'Espanya,park,[park] [walk] [outdoors],0,1,Free,1,open at all times,41.37913282886791 2.1473680685047487,Sants-Montjuïc
Plaça Reial,"a square in the old town, with the lampposts by Antoni Gaudí",park,[square] [fountain] [outdoors],0,1,Free,1,open at all times,41.38013553592559 2.175295874069012,Ciutat Vella
Plaça Sant Jaume,a square with the town hall and the Palau de la Generalitat facing each other,park,[square] [town hall] [catalonia] [outdoors],0,1,Free,1,open at all times,41.38270512922951 2.177012868504846,Ciutat Vella
Fossar de les Moreres,a memorial square to the defenders of Barcelona during the Spanish War of Succession in 1714,park,[outdoors] [history],0,1,Free,1,open at all times,41.38384317716835 2.1823665973402586,Ciutat Vella
Somorrostro,one of the beaches in Barcelona,park,[beach] [sea] [outdoors],0,1,Free,1,open at all times,41.383885568554646 2.195728073041944,Ciutat Vella
Font de Canaletes,"an ornate fountain in La Rambla, where Barça fans go celebrate their trophies",park,[fountain] [outdoors] [events],0,1,Free,1,open at all times,41.385282827485085 2.170090481998882,Ciutat Vella
La Rambla,"the most famous avenue in Barcelona, going from Plaça Catalunya to the sea",park,[outdoors] [street],0,1,Free,1,open at all times,41.385520133604224 2.1702886660961176,Ciutat Vella
Plaça de Catalunya,"the most famous square, between the old town and the modern Eixample district",park,[square] [outdoors],0,1,Free,1,open at all times,41.38747267054126 2.169706526175734,Ciutat Vella
Parc de la Ciutadella,"the green heart of Barcelona, which includes the zoo and the Parliament of Catalonia",park,[park] [walk] [outdoors],0,1,Free,1,open at all times,41.388122979268665 2.1859830108343288,Ciutat Vella
Arc de Triomf,a triumphal arch built during the 1888 Barcelona World Fair,monument,[history] [monument] [outdoors],0,1,Free,1,open at all times,41.39105712605045 2.1806293108344317,Ciutat Vella
Magic Fountain,a fountain in Montjuïc famous for its sound and light shows,monument,[fountain] [outdoors] [kid],1,1,Free,1,"Tuesday Wednesday Sunday (from 11 am to 1 pm and from 4 pm to 6 pm)
Sunday (from 11 am to 3 pm) Monday Thursday Friday Saturday (closed)",41.3711756848259 2.1517162108337504,Sants-Montjuïc
Fira de Barcelona,a precinct which houses trade fairs and congresses,event,[event],0,0,From 25€,0,"Monday Tuesday Wednesday Thursday Friday (from 9 am to 7 pm)
Saturday Sunday (closed)",41.37263184260404 2.152891326175221,Sants-Montjuïc
Camp Nou,"the stadium of Football Club Barcelona, the largest stadium in Europe",park,[sport] [stadium] [barça] [event] [outdoors] [kid] [football],1,1,From 34€,0,Monday Tuesday Wednesday Thursday Friday Saturday Sunday (from 09:30 am to 7:30 pm),41.38101673191423 2.1228197973401457,Les Corts
Barça Museum,the museum of the world-class Fooball Club Barcelona with all of the trophies,museum,[sport] [museum] [football] [barça],1,0,Individual tickets can go from 26€,0,"Monday Tuesday Wednesday Thursday Friday Saturday (from 10 am to 6 pm)
Sunday (from 10 am to 3 pm)",41.38036088234148 2.120919226175501,Les Corts
Torre Glòries,"the third tallest skyscraper in Barcelona, in the technological area",monument,[tower] [modern] [skyscraper],0,0,It's not possible to visit it from the inside,0,"Monday Tuesday Wednesday Thursday Friday (from 9 am to 6 pm)
Saturday Sunday (closed)",41.40350144795812 2.1895823685055555,Sant Martí
